chr	st	en	ID	blank	dir	Mll34_ChIP-seq_WT_rep1	Mll34_ChIP-seq_WT_rep2	Mll34_ChIP-seq_dKO_rep1	Mll334_ChIP-seq_dKO_rep2	
chr1	8086055	8087855	13.4765003972351	0	+	11.8723	13.9715	6.29363	5.4079	
chr1	8523105	8524905	12.3769109094551	0	+	5.03402	4.01877	4.63401	2.24823	
chr1	8547365	8549165	12.8244299438879	0	+	3.78665	2.60592	2.09069	1.43806	
chr1	8571340	8573140	24.8045119852826	0	+	31.7633	14.6936	14.3978	4.51671	
chr1	8572860	8574660	9.15936822352403	0	+	2.22744	1.75821	1.50875	1.15449	
chr1	8928325	8930125	19.0286877384807	0	+	0.712781	0.596535	1.207	0.668392	
chr1	9432350	9434150	11.184499880085	0	+	7.68467	3.98737	7.24199	2.6128	
chr1	9459500	9461300	12.4845873077957	0	+	14.1888	12.1819	3.81498	4.29391	
chr1	9688760	9690560	9.01147740610108	0	+	4.09849	4.67809	4.2676	4.9623	
chr1	9878975	9880775	16.5786645588994	0	+	16.0598	8.41429	1.98293	1.51907	
chr1	10020815	10022615	16.0801197539244	0	+	15.6144	9.57596	2.93128	1.39755	
chr1	10160205	10162005	11.285662877605	0	+	3.7421	5.68279	5.08663	3.24069	
chr1	10640185	10641985	11.1141499568193	0	+	11.204	7.81775	4.84955	3.58501	
chr1	10842615	10844415	11.8608453120084	0	+	17.7972	8.38289	2.86662	1.11399	
chr1	10868125	10869925	17.8825217784598	0	+	17.8863	17.0484	8.51365	5.50917	
chr1	11140760	11142560	12.5271557099653	0	+	1.80423	1.00469	1.33632	1.37729	
chr1	11267260	11269060	21.1899147219643	0	+	30.0036	26.6871	12.6519	7.73714	
chr1	11319230	11321030	19.5270207435725	0	+	29.625	22.4172	14.2038	8.38528	
chr1	11340475	11342275	12.6504211517949	0	+	6.03636	3.17106	1.78894	1.57984	
chr1	11385340	11387140	19.2380936346135	0	+	25.5265	20.188	15.8203	6.88646	
chr1	11390240	11392040	16.8665324648767	0	+	10.7808	8.57127	4.89265	1.66085	
chr1	11456245	11458045	21.5969168758944	0	+	28.6672	23.7044	9.63443	3.84832	
chr1	11490805	11492605	16.5306556694955	0	+	26.5065	14.4424	5.06508	2.22797	
chr1	11611265	11613065	18.3125561828501	0	+	0	0	0	0	
chr1	11737900	11739700	11.4145058824393	0	+	8.99886	4.20714	6.37985	3.90908	
chr1	12576330	12578130	11.3042944324327	0	+	4.14304	4.89787	3.6641	2.26848	
chr1	12682355	12684155	7.84815838810205	0	+	10.1571	12.7784	8.40588	8.0207	
chr1	12707380	12709180	11.3540559156462	0	+	5.94727	7.15843	6.05654	4.699	
chr1	12708410	12710210	9.79875549284199	0	+	5.43495	6.65608	5.77635	4.13188	
chr1	12734020	12735820	23.7392416634052	0	+	45.9521	29.764	25.9505	12.5577	
chr1	12743510	12745310	11.0436058660754	0	+	7.46193	6.62468	3.72876	2.22797	
chr1	12752090	12753890	11.9550415059809	0	+	14.9016	10.3923	2.04759	2.04568	
chr1	12803500	12805300	12.5283169231583	0	+	22.0294	20.0624	13.6434	11.7272	
chr1	12824585	12826385	14.3320542138675	0	+	10.1349	12.3389	8.98782	8.64858	
chr1	13004915	13006715	12.0143652154481	0	+	2.85112	2.29195	3.47012	2.24823	
chr1	13048885	13050685	13.0723839196021	0	+	12.8746	5.36882	2.69419	2.1267	
chr1	13069215	13071015	25.9944507776704	0	+	5.41268	2.7943	2.04759	1.70136	
chr1	13084240	13086040	14.1495691406736	0	+	15.6812	13.5633	7.41442	4.98256	
chr1	13093560	13095360	15.230340711013	0	+	15.3248	20.4706	11.0785	8.83087	
chr1	13113460	13115260	3.42002514756754	0	+	1.75968	1.50704	1.5303	2.22797	
chr1	13113745	13115545	4.66830641164201	0	+	2.11607	1.97799	1.78894	2.73433	
chr1	13114095	13115895	3.42002514756754	0	+	2.76203	2.41754	2.17691	3.30145	
chr1	13115660	13117460	6.12770500736341	0	+	4.58853	5.14904	4.24605	4.17239	
chr1	13361210	13363010	9.62022299608272	0	+	4.54398	4.45832	5.1513	4.15213	
chr1	13578440	13580240	6.67841223900513	0	+	3.80892	4.05016	4.82799	5.14459	
chr1	14281160	14282960	15.6931550898985	0	+	10.3576	9.98412	2.4571	0.951952	
chr1	14410175	14411975	12.106497333373	0	+	3.76437	3.01407	1.50875	0.992461	
chr1	14602610	14604410	14.6370313066122	0	+	6.45958	2.82569	3.14682	2.14696	
chr1	14732680	14734480	19.9480967504455	0	+	18.2873	10.7062	4.11673	2.73433	
chr1	15795870	15797670	9.64408252377878	0	+	2.29426	2.51173	2.69419	2.43052	
chr1	15803700	15805500	16.219157021599	0	+	8.79839	5.43161	4.05206	2.10645	
chr1	16092600	16094400	3.44565021945315	0	+	2.02697	1.66402	1.74584	2.49128	
chr1	16093200	16095000	10.6189771210767	0	+	2.58383	2.41754	3.0606	3.64577	
chr1	16095690	16097490	6.37722289221341	0	+	1.89332	2.38614	2.04759	3.80781	
chr1	16119385	16121185	15.0207568575992	0	+	12.6964	8.91664	10.6043	4.73951	
chr1	16644940	16646740	12.8075257768399	0	+	4.23214	2.10357	3.03905	2.55204	
chr1	16646105	16647905	13.3698677715161	0	+	4.05394	2.38614	3.92274	4.01035	
chr1	16813845	16815645	17.8813913526083	0	+	25.4596	16.1693	9.91463	5.4079	
chr1	17196855	17198655	18.799846630274	0	+	13.877	14.2855	10.1086	7.10926	
chr1	17240090	17241890	20.3576167007328	0	+	40.2276	34.0967	16.2729	8.70935	
chr1	17423540	17425340	11.7147646039482	0	+	5.76907	2.91988	1.61652	0.830426	
chr1	17921340	17923140	21.8615243692329	0	+	19.0669	8.25731	4.31071	1.92416	
chr1	17972110	17973910	11.4757366703764	0	+	4.09849	1.97799	0.646606	0.506357	
chr1	19165485	19167285	12.6242239685247	0	+	0.35639	0.502346	0.280196	0.587375	
chr1	20749360	20751160	16.2674347934999	0	+	18.2427	11.5226	5.53926	3.92933	
chr1	20750925	20752725	11.4238885542979	0	+	20.4925	12.1819	6.14276	3.56476	
chr1	20763555	20765355	13.3939580917456	0	+	6.19228	4.01877	4.13828	2.04568	
chr1	20808310	20810110	14.3257048246151	0	+	1.51466	1.13028	1.74584	2.08619	
chr1	20857005	20858805	18.7694433491601	0	+	22.5862	14.2541	10.7337	7.3118	
chr1	20897610	20899410	12.568012358118	0	+	23.1654	15.8239	7.45752	3.80781	
chr1	21056655	21058455	12.1117723128481	0	+	9.33298	4.36413	2.50021	0.769663	
chr1	21208555	21210355	7.80820916484206	0	+	1.8265	2.29195	1.8105	2.02543	
chr1	21242470	21244270	11.0764428058304	0	+	10.1794	8.03753	2.58642	2.18746	
chr1	21245255	21247055	24.6090449876847	0	+	38.1115	27.8174	10.8199	5.61044	
chr1	21247290	21249090	10.0091830717002	0	+	7.52875	4.30133	2.11225	1.27602	
chr1	21248690	21250490	8.88671328589799	0	+	14.6788	9.92133	3.6641	1.94441	
chr1	21249885	21251685	10.7801748939235	0	+	14.7234	10.4237	4.22449	2.36975	
chr1	22473210	22475010	26.1364965717404	0	+	31.8747	14.2855	8.10413	2.95713	
chr1	23977370	23979170	14.5935692723945	0	+	12.0059	5.90256	1.40098	0.56712	
chr1	24619800	24621600	125.934828035156	0	+	0.311842	0	0.344857	0.0607629	
chr1	25068945	25070745	11.6438114643397	0	+	7.15008	4.39552	4.33226	1.62034	
chr1	25238015	25239815	10.9187875657418	0	+	5.85817	3.76759	2.32778	1.62034	
chr1	26396255	26398055	12.0024635788847	0	+	11.9614	11.5539	4.93576	2.67357	
chr1	30034555	30036355	12.9922918274632	0	+	4.23214	2.07218	1.09923	0.911443	
chr1	30604855	30606655	13.9327598969144	0	+	13.0751	7.94334	3.77187	1.80263	
chr1	30903940	30905740	14.253897538103	0	+	12.7855	6.84446	2.54332	2.43052	
chr1	30931000	30932800	12.0632280725685	0	+	9.57799	7.06424	3.59944	2.91662	
chr1	31289840	31291640	13.1558079900684	0	+	5.99181	7.50379	4.8711	3.96984	
chr1	31734625	31736425	15.7677983932695	0	+	7.77377	9.10501	3.16837	1.8634	
chr1	32434355	32436155	14.6972223897314	0	+	0.289567	0.376759	0.193982	0.121526	
chr1	33611775	33613575	13.2665390791476	0	+	15.0798	6.90725	8.38433	4.86103	
chr1	34001355	34003155	13.1123649106031	0	+	11.4268	9.04222	5.04353	2.75458	
chr1	34063710	34065510	14.8792065229414	0	+	15.4584	18.4612	10.3241	7.35231	
chr1	34131370	34133170	18.9280327098992	0	+	13.9883	6.93865	4.11673	2.55204	
chr1	34162255	34164055	22.074048344	0	+	10.6249	5.49441	3.9874	2.43052	
chr1	34196020	34197820	16.5045432506251	0	+	13.6765	10.0469	13.1908	5.44841	
chr1	34212150	34213950	11.4503834166984	0	+	4.00939	1.78961	2.30623	1.68111	
chr1	34494465	34496265	5.46007288995065	0	+	1.22509	1.22447	1.35787	1.76212	
chr1	34494925	34496725	6.20984035989988	0	+	1.87105	2.16637	2.19846	2.24823	
chr1	34495130	34496930	8.68659246493607	0	+	2.13834	2.44893	2.60798	2.24823	
chr1	34495925	34497725	12.8595095275778	0	+	2.07152	2.22916	2.67264	2.26848	
chr1	34496275	34498075	8.68659246493607	0	+	1.87105	1.97799	2.4571	1.74187	
chr1	34525690	34527490	7.39277624962183	0	+	4.00939	1.75821	1.65962	1.01271	
chr1	34525990	34527790	12.0314787697599	0	+	3.22979	1.94659	1.68118	0.911443	
chr1	34592240	34594040	5.71988439980454	0	+	7.46193	6.65608	5.62547	4.21289	
chr1	34592765	34594565	13.2761063905525	0	+	8.06333	7.4096	6.0781	4.37493	
chr1	34593230	34595030	11.2021972522457	0	+	8.24153	7.18982	6.18586	4.31417	
chr1	34593520	34595320	8.73635076872031	0	+	7.66239	6.84446	5.99188	4.09137	
chr1	35276260	35278060	11.7615647901482	0	+	5.85817	9.262	2.26312	1.96467	
chr1	35288670	35290470	17.9178483222303	0	+	23.7	11.5226	6.48761	4.13188	
chr1	35753875	35755675	11.8396436107692	0	+	12.9192	9.07362	6.09965	5.4079	
chr1	35805975	35807775	13.0867670448161	0	+	9.66709	8.19451	7.86704	3.60526	
chr1	35928010	35929810	11.0001705297389	0	+	2.85112	1.8524	0.991463	0.830426	
chr1	35937720	35939520	11.2925754491889	0	+	7.10553	4.6153	2.11225	1.11399	
chr1	36000485	36002285	17.1627157261803	0	+	30.3155	19.9368	15.2383	8.54731	
chr1	36070725	36072525	22.025090059751	0	+	57.4902	44.6774	19.8077	8.52706	
chr1	36110695	36112495	14.9012684567266	0	+	24.4796	15.2587	5.51771	2.41026	
chr1	36125890	36127690	3.07476231276068	0	+	2.09379	2.66871	2.56487	3.07865	
chr1	36296475	36298275	11.7448717935466	0	+	18.1982	9.88993	5.25906	2.6128	
chr1	36370870	36372670	14.2412456013078	0	+	4.74445	3.07687	2.78041	3.0584	
chr1	36372705	36374505	10.2155975036754	0	+	9.26615	5.90256	3.25458	2.04568	
chr1	36373405	36375205	4.5818445568696	0	+	2.33881	2.95128	1.55185	1.39755	
chr1	36374720	36376520	3.50964793687165	0	+	0.846427	2.51173	1.18544	0.7089	
chr1	36423670	36425470	3.37823021239337	0	+	2.73975	2.16637	3.57789	2.77484	
chr1	36424505	36426305	6.42667990573275	0	+	6.94961	7.31541	8.01792	5.894	
chr1	36602155	36603955	11.0411466608789	0	+	2.45018	3.92458	2.78041	3.03814	
chr1	36763510	36765310	11.3465155844668	0	+	6.92734	5.71418	2.93128	1.27602	
chr1	36824970	36826770	10.9802834216217	0	+	8.06333	4.48971	4.76333	3.11916	
chr1	36827440	36829240	8.57659844141691	0	+	4.16531	5.18044	3.08216	3.64577	
chr1	36828435	36830235	5.88619405374375	0	+	2.31654	2.38614	1.46564	1.72162	
chr1	36859925	36861725	13.4446488415097	0	+	17.5077	11.5226	7.06956	5.24586	
chr1	36861425	36863225	6.23267862481538	0	+	5.23448	3.79899	2.75885	3.0584	
chr1	36901075	36902875	12.4222759383294	0	+	8.19698	8.3201	3.27614	2.65331	
chr1	37042325	37044125	27.8539274554846	0	+	59.9627	41.1295	22.9114	9.60054	
chr1	37057250	37059050	11.6340345879071	0	+	6.79369	5.43161	1.93982	1.27602	
chr1	37105175	37106975	11.9785240676488	0	+	15.3471	11.1772	10.6043	6.62316	
chr1	37157720	37159520	13.8974387997554	0	+	5.94727	4.33273	1.91826	2.16721	
chr1	37186490	37188290	15.0074506851657	0	+	17.3295	10.6434	6.14276	3.34196	
chr1	37920540	37922340	10.9103404564464	0	+	6.37048	5.30603	6.35829	4.71925	
chr1	38052475	38054275	12.4257400630175	0	+	2.36109	2.32335	2.17691	2.3495	
chr1	38054580	38056380	4.68552070433549	0	+	2.65065	3.92458	4.69867	6.40036	
chr1	38114650	38116450	13.7079711813216	0	+	14.1442	8.94803	4.50469	2.75458	
chr1	39044340	39046140	9.73831293159195	0	+	3.20751	2.85709	2.90973	2.89636	
chr1	39179145	39180945	12.5700293412322	0	+	14.6566	7.31541	6.05654	2.55204	
chr1	39486280	39488080	14.4516455072357	0	+	24.3459	10.6434	6.05654	2.71408	
chr1	39512540	39514340	10.8820372843869	0	+	6.4373	2.66871	2.30623	1.17475	
chr1	39915405	39917205	11.0736755124347	0	+	6.59322	5.71418	3.23303	2.53179	
chr1	39957340	39959140	9.04045295762712	0	+	15.0352	14.8192	12.9321	8.77011	
chr1	39958805	39960605	17.7134063784036	0	+	23.2322	18.9949	11.3803	7.7979	
chr1	39979540	39981340	13.1602150553661	0	+	11.85	9.07362	3.18992	3.2812	
chr1	40360045	40361845	12.6965228125427	0	+	27.4866	19.1519	8.47054	2.65331	
chr1	41196410	41198210	11.8066797331739	0	+	15.6144	8.3515	5.36683	3.26094	
chr1	41446425	41448225	13.971438690617	0	+	8.77612	5.30603	3.21148	2.73433	
chr1	42114690	42116490	14.4473363072266	0	+	19.2896	15.039	2.75885	3.03814	
chr1	43876510	43878310	13.6827086325534	0	+	10.2017	6.27932	2.19846	1.92416	
chr1	43990395	43992195	8.79829205326784	0	+	3.20751	3.76759	3.62099	4.07111	
chr1	44176285	44178085	9.74894508769908	0	+	2.65065	2.82569	2.99594	2.24823	
chr1	44204505	44206305	10.8201614659501	0	+	1.96015	2.60592	2.78041	2.85586	
chr1	44257235	44259035	12.3320320125976	0	+	0.601409	0.376759	0.754374	0.688646	
chr1	44387780	44389580	16.0172085110493	0	+	16.3271	12.2761	10.1948	4.92179	
chr1	44669455	44671255	16.8140684267282	0	+	12.6741	9.2306	15.3892	5.14459	
chr1	45324755	45326555	12.8042117569251	0	+	1.44784	1.22447	1.09923	1.35704	
chr1	45414395	45416195	14.8677084336561	0	+	28.3108	22.5114	12.1346	7.10926	
chr1	45851755	45853555	9.50192509427114	0	+	2.20517	2.35475	3.3408	3.26094	
chr1	46706320	46708120	16.7974642483119	0	+	6.6155	7.75496	2.7373	1.96467	
chr1	46977920	46979720	12.5623322429186	0	+	11.2931	9.01082	11.5527	6.01553	
chr1	47132630	47134430	11.166124676464	0	+	7.08326	9.82714	7.17733	3.20018	
chr1	48708325	48710125	14.3917258615741	0	+	15.2802	10.2353	4.72022	1.78238	
chr1	51533320	51535120	8.42861538829504	0	+	3.00704	1.8524	3.53478	2.18746	
chr1	51533660	51535460	10.1012013258168	0	+	5.30131	4.36413	4.95731	3.7673	
chr1	51592375	51594175	12.5795570982081	0	+	9.62254	5.5886	3.31924	1.07348	
chr1	51680420	51682220	16.9993836089688	0	+	15.0575	11.9935	4.44003	3.15967	
chr1	51935385	51937185	12.0680233941927	0	+	7.17236	7.18982	5.23751	3.58501	
chr1	51962880	51964680	12.8580779724215	0	+	16.238	11.8679	3.14682	3.0584	
chr1	52064015	52065815	7.39287557079359	0	+	5.50178	4.05016	2.28467	1.68111	
chr1	52065350	52067150	12.4578843966131	0	+	10.9145	10.0155	5.1944	4.13188	
chr1	52176375	52178175	4.83149894870767	0	+	2.22744	2.7943	2.71575	2.71408	
chr1	52288215	52290015	5.17320929937405	0	+	3.76437	4.48971	4.93576	4.09137	
chr1	52901745	52903545	12.866673599444	0	+	3.5639	3.26525	4.44003	2.93687	
chr1	53007560	53009360	12.4544484691003	0	+	2.73975	2.7315	3.16837	3.11916	
chr1	53450235	53452035	12.6758630352607	0	+	7.32828	7.12703	5.21596	1.9039	
chr1	53637050	53638850	20.2053215871627	0	+	14.3002	9.262	17.2859	7.87892	
chr1	53806780	53808580	21.6195511065209	0	+	32.8102	21.6009	17.0273	6.58265	
chr1	53879925	53881725	11.3212840632762	0	+	5.39041	4.14435	5.30217	2.97738	
chr1	54307060	54308860	11.8705099932669	0	+	2.31654	2.91988	3.27614	2.10645	
chr1	54540860	54542660	18.9950407707521	0	+	32.2533	18.2728	8.57831	2.77484	
chr1	54641325	54643125	11.6011890699101	0	+	5.01174	6.09094	3.12526	2.18746	
chr1	55109180	55110980	9.58793705156295	0	+	4.96719	4.48971	5.23751	4.35467	
chr1	55142100	55143900	3.9820642248706	0	+	1.35874	1.50704	2.30623	1.68111	
chr1	55143300	55145100	7.79875760702963	0	+	5.59088	7.4096	7.99636	10.1677	
chr1	55144670	55146470	8.28231610951738	0	+	5.50178	7.56658	7.15577	10.4107	
chr1	55145675	55147475	4.80573647704153	0	+	1.22509	1.69542	1.8105	2.04568	
chr1	55164795	55166595	17.9423662902143	0	+	23.7222	23.0137	4.37537	4.45595	
chr1	55188030	55189830	13.7448380991681	0	+	8.41972	9.29339	6.89713	5.20535	
chr1	55254365	55256165	16.7615366209209	0	+	29.1126	18.9008	5.1944	4.63823	
chr1	56753610	56755410	11.6974357378765	0	+	14.0106	7.59798	6.44451	2.45077	
chr1	56838175	56839975	11.1109167273938	0	+	0.55686	0.502346	0.538838	0.891189	
chr1	57337730	57339530	16.083208016449	0	+	15.3693	8.60267	4.35381	1.13424	
chr1	57526390	57528190	13.5755727878794	0	+	15.4139	7.44099	6.63849	2.79509	
chr1	57532825	57534625	12.3190963162496	0	+	4.36578	2.10357	1.46564	0.789918	
chr1	57668370	57670170	14.4944646067394	0	+	20.4479	11.4284	5.75479	4.37493	
chr1	58244745	58246545	12.6653721515339	0	+	8.01879	4.08156	2.19846	1.31653	
chr1	58479160	58480960	8.49831205469213	0	+	3.87575	3.54782	3.75032	3.2812	
chr1	58560290	58562090	11.3373345571614	0	+	2.6952	2.95128	3.10371	3.72679	
chr1	58669955	58671755	11.1036634905358	0	+	3.02932	2.19776	2.47866	2.87611	
chr1	59014305	59016105	12.2128386966124	0	+	12.1173	9.60736	3.90119	3.0584	
chr1	59029030	59030830	10.4007302502603	0	+	5.12311	4.39552	4.50469	4.21289	
chr1	59029995	59031795	8.37167964962707	0	+	4.6108	4.6467	4.56935	4.57747	
chr1	59371205	59373005	11.3597611307161	0	+	3.58618	3.6734	2.56487	3.11916	
chr1	59432985	59434785	18.808943780208	0	+	48.4246	49.2927	19.118	13.3881	
chr1	59479650	59481450	19.2304983963488	0	+	36.1291	40.6586	12.8459	9.56003	
chr1	59482990	59484790	15.3377227882562	0	+	10.6917	10.6748	4.61246	2.45077	
chr1	59504475	59506275	16.6018146704008	0	+	17.0845	12.5272	4.97887	3.2812	
chr1	59527555	59529355	7.51305687989643	0	+	6.88279	3.17106	2.65108	1.37729	
chr1	59543605	59545405	11.4820673246963	0	+	8.95431	7.53518	8.59986	4.45595	
chr1	59720400	59722200	11.382794846981	0	+	11.0036	6.4677	1.8105	1.17475	
chr1	59750465	59752265	6.33211497579843	0	+	1.96015	0.816312	1.65962	1.55958	
chr1	59753150	59754950	26.9940593918167	0	+	34.0353	22.6997	15.7987	7.02824	
chr1	59755330	59757130	10.0602455611737	0	+	3.78665	2.10357	2.4571	2.63306	
chr1	59784795	59786595	14.304275904443	0	+	19.0892	12.1505	5.40994	3.03814	
chr1	59969990	59971790	6.46949048034038	0	+	3.25206	3.20245	3.70721	3.62552	
chr1	60237010	60238810	12.4994767785444	0	+	8.37518	6.34211	7.97481	4.80027	
chr1	60237870	60239670	3.95424068219216	0	+	2.85112	2.51173	2.56487	2.06594	
chr1	60466230	60468030	6.87759635000421	0	+	11.6495	15.1646	8.06102	5.91425	
chr1	60488635	60490435	12.0543474237004	0	+	12.4514	11.3656	5.60392	3.48374	
chr1	60834945	60836745	10.956715926726	0	+	13.5651	11.5226	9.26802	4.05086	
chr1	60874820	60876620	14.2512041758362	0	+	16.6835	12.747	5.43149	2.95713	
chr1	60895165	60896965	11.6929108057165	0	+	8.37518	5.11765	3.9874	1.6406	
chr1	60908090	60909890	18.1356790912246	0	+	37.1092	22.7625	12.4148	5.83324	
chr1	61151715	61153515	11.0107548965251	0	+	3.96484	2.22916	2.32778	1.92416	
chr1	62227485	62229285	13.9691830213179	0	+	17.775	13.4377	16.7471	9.56003	
chr1	62443985	62445785	14.7908121705145	0	+	5.61315	3.7362	5.90567	3.20018	
chr1	62711190	62712990	11.6191881601144	0	+	10.8922	10.926	6.96179	4.37493	
chr1	62782510	62784310	18.8943925151825	0	+	15.6366	11.6795	5.45304	3.44323	
chr1	62784705	62786505	12.4073393770953	0	+	8.37518	5.14904	2.11225	1.62034	
chr1	62788635	62790435	14.6858903562009	0	+	7.5733	3.64201	5.71169	3.78755	
chr1	62813255	62815055	17.2720367951291	0	+	34.659	28.0686	10.7552	3.09891	
chr1	62814995	62816795	4.90699292690366	0	+	3.38571	2.48033	1.70273	1.13424	
chr1	62828635	62830435	7.42737568080565	0	+	17.7082	8.03753	3.92274	2.02543	
chr1	62829805	62831605	18.7660032459621	0	+	18.1314	8.47708	4.15983	2.89636	
chr1	63163495	63165295	12.2203706864841	0	+	14.1665	7.84915	4.63401	2.32924	
chr1	63184400	63186200	25.0311418362499	0	+	44.727	34.0025	4.52624	5.04332	
chr1	63245015	63246815	10.9240493352615	0	+	6.45958	4.77228	3.18992	2.55204	
chr1	63249760	63251560	13.4196171970359	0	+	10.6917	9.92133	5.08663	3.44323	
chr1	63253610	63255410	3.29352214833935	0	+	4.92264	3.01407	1.68118	1.25577	
chr1	63257700	63259500	15.3684155723716	0	+	2.09379	1.03609	1.83205	1.47856	
chr1	63260855	63262655	15.2523381725455	0	+	6.88279	6.31072	4.78488	2.97738	
chr1	63293790	63295590	17.201847558262	0	+	9.02113	6.56189	5.64703	3.94959	
chr1	63369760	63371560	10.9107498839246	0	+	3.94257	3.51642	2.52176	1.03297	
chr1	64166115	64167915	4.94974337739214	0	+	1.49239	1.821	1.8105	2.00518	
chr1	64271945	64273745	12.1395747013448	0	+	9.4889	6.40491	5.58237	5.34713	
chr1	64351345	64353145	12.5152202389438	0	+	3.05159	1.56983	2.47866	2.73433	
chr1	64623675	64625475	11.4364290999478	0	+	7.15008	7.50379	2.62953	2.36975	
chr1	64930815	64932615	11.7036160411895	0	+	4.20986	2.91988	0.905249	0.891189	
chr1	65155400	65157200	9.65889953747762	0	+	3.22979	3.54782	2.90973	2.6128	
chr1	65156590	65158390	10.9497799888929	0	+	2.82885	2.70011	2.19846	2.49128	
chr1	65231520	65233320	10.8780750272655	0	+	3.34116	2.88849	3.25458	3.72679	
chr1	65232690	65234490	7.28567105795426	0	+	3.5639	3.23385	3.14682	3.66603	
chr1	66746995	66748795	10.3575465245416	0	+	2.82885	3.95597	2.56487	2.6128	
chr1	66747385	66749185	5.86002342120716	0	+	2.20517	2.66871	2.414	2.49128	
chr1	66958280	66960080	11.4894807115015	0	+	7.55102	2.19776	0.538838	0.607629	
chr1	67006285	67008085	13.7937125883056	0	+	7.66239	6.27932	10.863	4.84078	
chr1	67353285	67355085	11.8033593097335	0	+	4.72217	2.88849	1.03457	0.870935	
chr1	67980880	67982680	17.580589571198	0	+	12.9192	6.93865	6.09965	2.71408	
chr1	69502480	69504280	14.2148096321245	0	+	0.623683	0.376759	0.517285	0.769663	
chr1	71147755	71149555	17.5101276051722	0	+	3.89802	4.42692	4.63401	4.17239	
chr1	71690575	71692375	8.05221318446664	0	+	3.40798	3.26525	2.60798	2.14696	
chr1	71692525	71694325	19.4251969571107	0	+	19.9133	13.4377	11.9191	5.44841	
chr1	71694340	71696140	10.4803442471989	0	+	7.41738	4.99206	4.39692	2.55204	
chr1	71695610	71697410	9.5223555531544	0	+	13.3201	11.7109	7.30665	3.44323	
chr1	71696780	71698580	15.7997128822482	0	+	22.0294	19.5915	10.8199	4.88129	
chr1	71697910	71699710	15.1981448587467	0	+	5.72452	4.74089	4.78488	4.39518	
chr1	71699925	71701725	14.5696440777602	0	+	4.81127	4.6467	3.53478	4.03061	
