chr	st	en	ID	blank	dir	WT_ChIP_Set1A_1	WT_ChIP_Set1A_2	
chr1	20964310	20966110	6.99984749673996	0	+	1.29436	2.41577
chr1	21245610	21247410	12.8432001457444	0	+	2.65684	2.7818
chr1	22473115	22474915	11.6548645486598	0	+	0.476868	1.3909
chr1	22561875	22563675	9.59625056044658	0	+	0.613117	0.915065
chr1	23974425	23976225	9.73920305853486	0	+	1.9756	2.59878
chr1	24619785	24621585	15.0072708636838	0	+	0	0.109808
chr1	25068865	25070665	9.13606864723175	0	+	1.36248	1.83013
chr1	25238000	25239800	8.68935762658648	0	+	1.56685	1.68372
chr1	25944085	25945885	8.96441557737081	0	+	0.817489	0.98827
chr1	30929785	30931585	9.02833480521501	0	+	11.1042	11.0906
chr1	30931900	30933700	8.82985265113082	0	+	2.04372	2.30596
chr1	33162565	33164365	8.54310812052203	0	+	0.817489	1.17128
chr1	33611810	33613610	8.8379672329887	0	+	1.83935	2.23276
chr1	33776235	33778035	8.32074067455655	0	+	7.56177	6.88129
chr1	33870015	33871815	5.8853671057148	0	+	6.47179	8.34539
chr1	34001090	34002890	8.63812109218717	0	+	3.26996	2.8184
chr1	34059040	34060840	8.59811043157895	0	+	1.49873	1.93994
chr1	34063410	34065210	14.6541645837948	0	+	2.99746	2.48898
chr1	34094320	34096120	8.44989435443081	0	+	3.33808	3.58705
chr1	34126450	34128250	11.7923153385678	0	+	1.83935	2.37917
chr1	34129815	34131615	17.0876816246268	0	+	2.79309	2.56218
chr1	34133245	34135045	9.57148419623654	0	+	2.45247	2.59878
chr1	34153170	34154970	9.79189049258517	0	+	2.11185	1.90333
chr1	34159800	34161600	10.6615847097628	0	+	3.61058	2.8916
chr1	34161200	34163000	7.83900607868708	0	+	1.7031	1.90333
chr1	34163095	34164895	11.9883306757411	0	+	0.885613	1.57391
chr1	34172550	34174350	8.94588251438193	0	+	1.49873	1.02487
chr1	34196955	34198755	11.9358753742041	0	+	1.90747	2.59878
chr1	34212290	34214090	8.21873777829501	0	+	1.43061	1.72032
chr1	34592855	34594655	8.11306095021058	0	+	2.17997	2.08635
chr1	34593230	34595030	8.11306095021058	0	+	2.04372	2.04975
chr1	34915280	34917080	8.50858221141186	0	+	2.58871	3.95308
chr1	35288760	35290560	11.7741845380068	0	+	2.31622	2.37917
chr1	35897835	35899635	10.2215112046616	0	+	1.90747	2.37917
chr1	35906525	35908325	7.80336524137656	0	+	3.81495	3.62366
chr1	35934555	35936355	8.9630313472786	0	+	2.45247	2.63539
chr1	35937820	35939620	7.7646953345737	0	+	2.04372	1.97654
chr1	35987055	35988855	8.76990296840536	0	+	2.31622	2.56218
chr1	35997635	35999435	9.73810559297112	0	+	2.45247	2.34257
chr1	36000445	36002245	16.3119420625504	0	+	3.13371	2.92821
chr1	36034820	36036620	10.2488308274716	0	+	2.24809	2.41577
chr1	36071430	36073230	17.4277588113065	0	+	2.04372	2.12295
chr1	36074500	36076300	10.2789782857332	0	+	2.65684	2.59878
chr1	36110445	36112245	13.3067505017106	0	+	2.52059	2.19616
chr1	36126025	36127825	5.95664923778431	0	+	2.04372	2.01314
chr1	36144250	36146050	7.78730539486462	0	+	1.36248	0.84186
chr1	36296500	36298300	8.85558299695299	0	+	2.86121	2.15955
chr1	36370905	36372705	8.86841497325557	0	+	2.52059	3.07462
chr1	36371965	36373765	7.87069211799953	0	+	2.24809	2.8916
chr1	36372705	36374505	7.87069211799953	0	+	1.63498	2.01314
chr1	36424700	36426500	8.45038702535967	0	+	9.12863	10.6148
chr1	36540565	36542365	8.39966399926994	0	+	1.08999	1.17128
chr1	36747875	36749675	6.00730745160468	0	+	6.74428	6.14924
chr1	36763510	36765310	11.1921626788064	0	+	2.17997	1.83013
chr1	36824015	36825815	7.83752469335676	0	+	2.04372	2.34257
chr1	36859535	36861335	9.93866690366556	0	+	1.15811	1.28109
chr1	36861100	36862900	5.42418164975887	0	+	2.17997	1.93994
chr1	36887780	36889580	8.09435562928534	0	+	2.17997	2.08635
chr1	36890275	36892075	9.43663953336685	0	+	1.43061	1.97654
chr1	36900740	36902540	10.3310968802025	0	+	1.56685	1.68372
chr1	36910230	36912030	8.05030136676087	0	+	1.56685	2.30596
chr1	36955540	36957340	10.6665651548541	0	+	1.36248	2.45237
chr1	37018770	37020570	10.0231582421203	0	+	1.83935	1.72032
chr1	37041975	37043775	19.8743551107754	0	+	2.92933	3.07462
chr1	37057110	37058910	8.32265381863287	0	+	1.43061	2.74519
chr1	37105445	37107245	10.0402430770719	0	+	1.90747	1.50071
chr1	37141495	37143295	9.364632440102	0	+	1.22623	2.15955
chr1	37158110	37159910	9.3015219551441	0	+	1.90747	2.23276
chr1	37186420	37188220	9.55933889682475	0	+	1.56685	2.37917
chr1	37187460	37189260	7.84874777248642	0	+	1.22623	2.45237
chr1	38114540	38116340	9.67837715827733	0	+	2.38434	2.37917
chr1	38185025	38186825	6.72537707493589	0	+	7.76614	8.60161
chr1	38678045	38679845	8.54964936906741	0	+	1.29436	1.17128
chr1	38925570	38927370	8.17851989703184	0	+	0.749365	0.951667
chr1	39044285	39046085	5.04636808798204	0	+	5.72242	4.42891
chr1	39178685	39180485	8.4851977034107	0	+	1.56685	2.01314
chr1	39348145	39349945	8.15813643694173	0	+	1.7031	2.08635
chr1	39424835	39426635	6.39490224749354	0	+	8.44738	7.79635
chr1	39486820	39488620	13.50938681986	0	+	2.31622	1.93994
chr1	39521895	39523695	9.04705213943514	0	+	1.7031	1.97654
chr1	39915510	39917310	8.19206365076642	0	+	0.953737	1.28109
chr1	39959600	39961400	12.0521784350858	0	+	1.56685	2.08635
chr1	39979465	39981265	10.2749290060454	0	+	1.22623	2.52558
chr1	40000595	40002395	8.63793182211232	0	+	1.43061	2.15955
chr1	41196440	41198240	10.9439272315154	0	+	1.36248	1.02487
chr1	41446390	41448190	10.539009925238	0	+	1.43061	0.98827
chr1	42114530	42116330	10.7443459385023	0	+	1.29436	1.24449
chr1	43154960	43156760	8.30901829185537	0	+	6.26741	9.40687
chr1	43627360	43629160	7.56135336642535	0	+	1.02186	1.50071
chr1	44257235	44259035	13.9732347314127	0	+	0.476868	0.732052
chr1	45413980	45415780	10.3996848998529	0	+	0.817489	1.06148
chr1	45415890	45417690	9.65148257956395	0	+	0.817489	0.915065
chr1	45851735	45853535	5.23270994277009	0	+	7.90239	7.68654
chr1	46132045	46133845	8.48177806372199	0	+	0.0681241	0.14641
chr1	46505365	46507165	7.78249667649943	0	+	0.136248	0.0366026
chr1	46706015	46707815	8.0279391197153	0	+	0.34062	0.219616
chr1	46788545	46790345	14.8686428124224	0	+	0.408744	0.183013
chr1	47132590	47134390	9.15065348560494	0	+	1.08999	1.06148
chr1	48602445	48604245	8.11189236131254	0	+	0.136248	0.0366026
chr1	48707625	48709425	8.11407134837236	0	+	0.749365	0.878462
chr1	48708700	48710500	7.98254627493021	0	+	0.34062	0.475834
chr1	51592370	51594170	10.6592117518839	0	+	2.17997	1.53731
chr1	51681175	51682975	9.48568461206607	0	+	1.43061	2.63539
chr1	51803200	51805000	7.93634173845445	0	+	2.92933	2.52558
chr1	51963140	51964940	9.10525917875673	0	+	1.43061	1.4275
chr1	51987660	51989460	9.25508375652299	0	+	1.90747	1.57391
chr1	52065090	52066890	8.74435779065222	0	+	1.77123	2.19616
chr1	52206240	52208040	8.77491326159182	0	+	1.63498	1.06148
chr1	52206815	52208615	5.39760403405244	0	+	1.49873	0.98827
chr1	52288225	52290025	7.6102229742084	0	+	5.04118	5.6734
chr1	52583625	52585425	7.65763625220694	0	+	1.63498	1.68372
chr1	53008205	53010005	14.462238317238	0	+	3.20183	4.13609
chr1	53637740	53639540	10.2063219345641	0	+	0.544993	1.06148
chr1	53805865	53807665	10.4718294044915	0	+	0.613117	0.732052
chr1	53806920	53808720	11.5538179707219	0	+	0.885613	1.13468
chr1	53922400	53924200	9.23009963881763	0	+	2.11185	1.72032
chr1	54540930	54542730	12.3280135739513	0	+	1.7031	2.01314
chr1	54641500	54643300	10.7644798149046	0	+	1.36248	1.61051
chr1	55082975	55084775	9.45901233520581	0	+	9.80987	11.603
chr1	55143300	55145100	8.67688068393868	0	+	10.5592	13.2867
chr1	55144580	55146380	8.67688068393868	0	+	10.5592	12.8841
chr1	55163170	55164970	9.54640706530322	0	+	1.36248	1.50071
chr1	55165335	55167135	11.4150945455574	0	+	2.24809	2.63539
chr1	55187750	55189550	11.487695330566	0	+	8.99238	11.9324
chr1	55255045	55256845	8.84664908719266	0	+	2.24809	2.23276
chr1	55538360	55540160	7.96716091746238	0	+	0.613117	0.622244
chr1	55632020	55633820	7.58568772699115	0	+	1.02186	1.09808
chr1	56753600	56755400	8.04085368393907	0	+	1.9756	1.90333
chr1	56770755	56772555	8.06305972135183	0	+	0.476868	0.622244
chr1	56838185	56839985	11.2987794162305	0	+	0.613117	0.549039
chr1	57009245	57011045	9.73185884235234	0	+	1.49873	1.97654
chr1	57526650	57528450	11.4355099834639	0	+	3.13371	2.30596
chr1	57531970	57533770	9.18613638982545	0	+	1.08999	1.4275
chr1	57668430	57670230	11.3889661191691	0	+	2.45247	3.47725
chr1	58045290	58047090	11.04975700384	0	+	2.65684	3.22103
chr1	58051750	58053550	9.1059226509145	0	+	4.49619	5.49039
chr1	58052575	58054375	5.97034042028804	0	+	4.83681	5.52699
chr1	58244750	58246550	8.22518527145074	0	+	1.49873	1.75692
chr1	58422930	58424730	11.6576965832598	0	+	1.9756	2.30596
chr1	58449520	58451320	8.56191275650107	0	+	13.7611	17.496
chr1	58479455	58481255	10.7340475782107	0	+	6.81241	7.94276
chr1	58669920	58671720	33.3706207942585	0	+	1.83935	1.57391
chr1	58818850	58820650	9.73268983040981	0	+	0.408744	0.549039
chr1	59013725	59015525	8.98469741014934	0	+	1.22623	1.93994
chr1	59371220	59373020	8.3214868895124	0	+	0.885613	1.4275
chr1	59433435	59435235	13.8729598826897	0	+	2.86121	2.59878
chr1	59478890	59480690	16.0822960530236	0	+	3.9512	2.70859
chr1	59482965	59484765	13.2329252787039	0	+	2.45247	2.26936
chr1	59505050	59506850	14.9923076776669	0	+	1.7031	1.57391
chr1	59544215	59546015	14.1042819999427	0	+	1.7031	2.45237
chr1	59753910	59755710	12.077745391917	0	+	2.65684	2.96481
chr1	59785045	59786845	9.35569747503533	0	+	1.7031	2.74519
chr1	60399680	60401480	8.93879193543444	0	+	5.04118	5.78321
chr1	60488530	60490330	8.99604916328645	0	+	1.49873	1.90333
chr1	60895210	60897010	10.7275091389421	0	+	1.83935	1.79353
chr1	60908555	60910355	12.2144936873745	0	+	2.79309	3.03802
chr1	60913960	60915760	7.58579424033019	0	+	3.06558	2.15955
chr1	61554165	61555965	8.42049881029885	0	+	0.476868	0.329423
chr1	62227845	62229645	11.2156450930223	0	+	1.22623	1.28109
chr1	62444155	62445955	7.55228330654497	0	+	1.63498	1.53731
chr1	62782860	62784660	11.7841112305271	0	+	2.24809	2.19616
chr1	62784290	62786090	7.55285005470011	0	+	3.33808	2.15955
chr1	62798670	62800470	8.78700772126811	0	+	1.02186	1.53731
chr1	62813365	62815165	17.2621066428701	0	+	2.24809	2.26936
chr1	62816655	62818455	7.99268275917296	0	+	1.56685	1.90333
chr1	62818365	62820165	12.8658351977316	0	+	1.7031	2.08635
chr1	62819585	62821385	8.78214821172147	0	+	2.65684	2.26936
chr1	62829815	62831615	11.9956041996119	0	+	2.31622	2.56218
chr1	63153910	63155710	8.48144036066804	0	+	1.9756	1.97654
chr1	63164350	63166150	8.52578471336155	0	+	1.9756	2.30596
chr1	63184550	63186350	11.5632025506827	0	+	1.90747	2.04975
chr1	63221925	63223725	6.14883697535721	0	+	20.2328	24.3041
chr1	63249885	63251685	8.99949956550714	0	+	2.11185	2.23276
chr1	63257035	63258835	9.57214849664285	0	+	2.17997	1.97654
chr1	63259465	63261265	7.98739417971792	0	+	2.99746	2.37917
chr1	63260530	63262330	7.50205079896911	0	+	2.11185	1.53731
chr1	63293710	63295510	10.7049716423095	0	+	2.92933	1.86673
chr1	63369725	63371525	9.15189928719158	0	+	1.7031	2.37917
chr1	64271655	64273455	9.25316513472609	0	+	1.83935	1.97654
chr1	64351605	64353405	11.3105127292995	0	+	1.77123	2.37917
chr1	64357255	64359055	8.25194593432055	0	+	1.36248	1.17128
chr1	64622560	64624360	7.86361308899749	0	+	1.90747	2.19616
chr1	64930675	64932475	9.80864988663413	0	+	1.36248	1.57391
chr1	65002180	65003980	8.59819289066054	0	+	4.90493	6.40545
chr1	65845975	65847775	7.89535847958464	0	+	0.817489	1.13468
chr1	66746995	66748795	4.79249168045023	0	+	4.56431	5.56359
chr1	67006615	67008415	8.72351019241975	0	+	1.36248	1.20789
chr1	67981790	67983590	7.54798756774228	0	+	2.17997	1.93994
chr1	69502495	69504295	14.0120076026772	0	+	0.476868	0.695449
chr1	71081090	71082890	9.67903816636322	0	+	2.58871	2.15955
chr1	71125040	71126840	7.73197686362761	0	+	0.613117	1.02487
chr1	71148130	71149930	6.59296123637326	0	+	5.85867	6.40545
chr1	71692525	71694325	8.65549046559515	0	+	2.65684	2.855
chr1	71694035	71695835	9.94043489798557	0	+	2.38434	2.41577
chr1	71696780	71698580	10.8996835500184	0	+	2.65684	2.67199
chr1	71698085	71699885	11.5425248077613	0	+	5.58617	4.46552
chr1	71699515	71701315	10.2688660701969	0	+	5.17743	4.09949
chr1	71718435	71720235	8.9759827742474	0	+	2.24809	2.96481
chr1	71719640	71721440	12.9853407143931	0	+	2.17997	2.63539
chr1	72250785	72252585	11.8388064554535	0	+	1.63498	1.83013
chr1	72252865	72254665	10.5359621113937	0	+	1.83935	1.50071
chr1	72272420	72274220	16.5885663668932	0	+	2.31622	2.8184
chr1	72275830	72277630	13.3190332144016	0	+	1.77123	1.64712
chr1	72282510	72284310	13.8339816779708	0	+	2.65684	3.55045
chr1	72288525	72290325	11.5502129715656	0	+	2.65684	2.855
chr1	72289960	72291760	24.7458048109781	0	+	3.47433	5.12436
chr1	72294250	72296050	8.98615887745248	0	+	1.22623	1.68372
chr1	72300655	72302455	12.761069791279	0	+	3.13371	2.67199
chr1	72353415	72355215	11.0046404158033	0	+	7.15303	7.75975
chr1	72536445	72538245	10.1296813057676	0	+	1.77123	1.72032
chr1	72629240	72631040	10.1202666415859	0	+	3.81495	4.53872
chr1	72717950	72719750	10.8161434128725	0	+	2.17997	1.75692
chr1	72757165	72758965	9.44447727915029	0	+	5.3818	6.80808
chr1	72852235	72854035	14.7696787669149	0	+	2.04372	2.52558
chr1	72870845	72872645	6.43186927881018	0	+	2.92933	2.15955
chr1	72873735	72875535	11.0247766834751	0	+	1.49873	2.08635
chr1	72990705	72992505	7.62768764455131	0	+	2.52059	2.01314
chr1	73005745	73007545	10.6644546556443	0	+	2.52059	2.23276
chr1	73546535	73548335	7.66829180060005	0	+	1.9756	1.75692
chr1	74138035	74139835	9.39264778038889	0	+	1.7031	2.34257
chr1	74152075	74153875	8.9948401324026	0	+	1.43061	1.64712
chr1	74156690	74158490	12.7113753533399	0	+	1.63498	1.90333
chr1	74302700	74304500	10.2279749760389	0	+	1.9756	2.34257
chr1	74349425	74351225	7.81006657711313	0	+	3.26996	3.51385
chr1	74350575	74352375	8.29701923851831	0	+	3.47433	3.07462
chr1	74353665	74355465	11.1870225126146	0	+	2.79309	2.8916
chr1	74355415	74357215	10.0686009487537	0	+	2.72496	3.11122
chr1	74390370	74392170	12.4622367582655	0	+	1.43061	1.06148
chr1	74551610	74553410	11.8952340380476	0	+	11.3767	12.8475
chr1	74552455	74554255	8.76279203031652	0	+	9.87799	11.4566
chr1	74870650	74872450	15.554649761778	0	+	2.17997	3.22103
chr1	75214290	75216090	8.24248035341118	0	+	4.35994	4.57532
chr1	75217880	75219680	10.1717069097889	0	+	1.08999	2.15955
chr1	75340510	75342310	8.08921726547979	0	+	2.99746	2.48898
chr1	75476785	75478585	8.00451173102654	0	+	1.02186	1.06148
chr1	75503560	75505360	3.59043022809348	0	+	1.22623	0.695449
chr1	75584590	75586390	13.3566366180729	0	+	1.77123	2.59878
chr1	75597635	75599435	8.4140096612352	0	+	3.33808	3.07462
chr1	75700465	75702265	7.60581250046785	0	+	1.7031	2.08635
chr1	75800020	75801820	11.3732624944058	0	+	2.04372	2.15955
chr1	76024440	76026240	10.5498090852496	0	+	2.52059	2.26936
chr1	76032320	76034120	8.49355622618064	0	+	1.63498	1.57391
chr1	77436315	77438115	8.3962011359309	0	+	2.11185	1.79353
chr1	77442310	77444110	10.5983418650474	0	+	1.49873	2.04975
chr1	77448020	77449820	8.23399475134396	0	+	2.45247	2.56218
chr1	77449760	77451560	9.99658382933077	0	+	2.65684	2.74519
chr1	77452530	77454330	10.3175533255407	0	+	1.90747	1.93994
chr1	77456985	77458785	10.1556309095571	0	+	2.04372	1.68372
chr1	77469340	77471140	7.98442573142746	0	+	1.90747	2.30596
chr1	77492275	77494075	5.56381549445255	0	+	2.17997	2.59878
chr1	77492735	77494535	9.41223584781413	0	+	1.90747	2.59878
chr1	77500530	77502330	8.39461230016186	0	+	2.04372	1.79353
chr1	78597675	78599475	9.35542945180497	0	+	1.77123	2.01314
chr1	78653940	78655740	8.75031323914914	0	+	5.51805	5.6368
chr1	79376805	79378605	8.82728061005905	0	+	0.408744	0.329423
chr1	79772100	79773900	5.22085676144421	0	+	12.058	13.9822
chr1	80233210	80235010	7.77806414953153	0	+	1.9756	1.64712
chr1	80399195	80400995	9.48798407252745	0	+	0.885613	1.20789
chr1	82815815	82817615	9.59726441046933	0	+	3.9512	2.63539
chr1	82835850	82837650	7.95159610086566	0	+	10.0142	13.7626
chr1	83033660	83035460	8.13848286689661	0	+	3.13371	2.855
chr1	84172855	84174655	8.73246351680839	0	+	1.9756	1.83013
chr1	84213790	84215590	8.2588759365248	0	+	0.817489	0.951667
chr1	84401345	84403145	7.80714385383808	0	+	2.24809	1.64712
chr1	84401970	84403770	6.31806380944604	0	+	2.11185	1.57391
chr1	84627115	84628915	9.23447618026248	0	+	1.36248	1.4275
chr1	84633450	84635250	8.45945074690034	0	+	1.56685	1.53731
chr1	84636355	84638155	10.3649317186264	0	+	1.56685	1.61051
chr1	84834465	84836265	8.5252674399125	0	+	7.15303	9.11405
chr1	84836080	84837880	10.1085937846536	0	+	6.88053	7.75975
chr1	84844535	84846335	10.4742752735702	0	+	2.79309	3.84327
chr1	84846945	84848745	10.0970754531048	0	+	3.06558	2.34257
chr1	84858380	84860180	13.8608455461423	0	+	1.83935	2.45237
chr1	84862375	84864175	11.5832043951611	0	+	2.45247	2.7818
chr1	84867635	84869435	13.3545963488393	0	+	2.52059	3.03802
chr1	84885790	84887590	10.5590329244162	0	+	2.99746	3.47725
chr1	84957745	84959545	14.5339645120194	0	+	0	0.109808
chr1	85026360	85028160	15.1722537574751	0	+	0	0.0732052
chr1	85076695	85078495	7.90444190255146	0	+	0	0
chr1	85206450	85208250	15.9383857744364	0	+	0.0681241	0.0366026
chr1	85301615	85303415	18.6022459226133	0	+	0	0.109808
chr1	87443445	87445245	13.0898912115251	0	+	0	0
chr1	87488525	87490325	7.86613005470903	0	+	0	0.0366026
chr1	87928190	87929990	7.67134710696495	0	+	1.43061	1.3909
chr1	88077965	88079765	10.2813392293205	0	+	2.45247	2.48898
chr1	88083425	88085225	11.9705222935126	0	+	2.65684	2.48898
chr1	88085225	88087025	10.4540851783152	0	+	3.06558	2.8916
chr1	88097105	88098905	10.3471410722002	0	+	0.953737	2.15955
chr1	88131905	88133705	11.7214130295815	0	+	1.63498	1.68372
chr1	88199965	88201765	7.49869160052128	0	+	3.26996	3.29423
chr1	88205800	88207600	14.3708322336754	0	+	2.24809	2.92821
chr1	88254385	88256185	7.21396281099294	0	+	15.5323	17.7157
chr1	88362855	88364655	10.6187817541179	0	+	2.45247	2.7818
chr1	88378305	88380105	8.07943444211447	0	+	1.90747	1.97654
chr1	88386495	88388295	16.0577274949512	0	+	1.7031	2.41577
chr1	88543565	88545365	10.3627996372538	0	+	1.63498	1.83013
chr1	88615275	88617075	8.71506103313877	0	+	1.9756	2.34257
chr1	88653855	88655655	8.21370612453911	0	+	2.99746	2.7818
chr1	88657940	88659740	7.60449303028414	0	+	1.02186	1.09808
chr1	88931965	88933765	7.59840465526754	0	+	1.9756	2.48898
chr1	89121470	89123270	5.44557052385603	0	+	2.92933	3.11122
chr1	89121720	89123520	11.2962986431106	0	+	2.79309	3.33084
chr1	89122685	89124485	12.5767822882945	0	+	2.38434	3.11122
chr1	89125600	89127400	12.8717786098717	0	+	1.63498	2.08635
chr1	89128150	89129950	8.51831903569157	0	+	2.58871	2.01314
chr1	89193165	89194965	7.04829555809928	0	+	1.77123	1.90333
chr1	89193500	89195300	6.31637926460285	0	+	1.7031	1.75692
chr1	89208875	89210675	11.9900367757724	0	+	1.77123	1.97654
chr1	89569900	89571700	12.3769336417062	0	+	2.04372	2.04975
chr1	89571540	89573340	10.9624206818693	0	+	2.52059	1.90333
chr1	89572505	89574305	10.4412351697969	0	+	2.65684	2.26936
chr1	89624765	89626565	10.3540540916853	0	+	1.7031	1.97654
chr1	90172130	90173930	16.7452112176785	0	+	7.28928	9.51667
chr1	90328335	90330135	8.30613471685964	0	+	1.15811	1.06148
chr1	90501865	90503665	9.32925749025449	0	+	1.63498	2.67199
chr1	90504350	90506150	9.74439227165568	0	+	1.83935	1.93994
chr1	90508555	90510355	12.9280155668168	0	+	1.90747	2.23276
chr1	90535365	90537165	7.98333370283211	0	+	1.22623	1.17128
chr1	90565045	90566845	12.4825527582144	0	+	1.43061	1.53731
chr1	90656875	90658675	8.28486240130489	0	+	2.72496	2.12295
chr1	90696200	90698000	11.3576166586649	0	+	1.90747	2.37917
chr1	90705355	90707155	9.54548961939081	0	+	1.9756	1.97654
chr1	90709325	90711125	7.97216005600232	0	+	1.29436	1.4275
chr1	90820335	90822135	10.2364790533438	0	+	1.36248	1.17128
chr1	90920885	90922685	8.78576054867568	0	+	2.11185	3.14782
chr1	90968010	90969810	8.60022124516328	0	+	1.7031	1.93994
chr1	90988820	90990620	8.66751157067892	0	+	1.49873	1.3543
chr1	90992025	90993825	8.90489777019093	0	+	1.43061	1.24449
chr1	90993765	90995565	9.79810016571145	0	+	0	0.109808
chr1	90998930	91000730	9.4574159990408	0	+	1.29436	1.3909
chr1	91005345	91007145	9.3613513638709	0	+	1.90747	1.57391
chr1	91028370	91030170	10.7392482245844	0	+	1.56685	2.30596
chr1	91085385	91087185	8.61728340226968	0	+	3.06558	3.00141
chr1	91362610	91364410	13.292160318934	0	+	1.43061	1.64712
chr1	91409880	91411680	11.4975085977519	0	+	2.72496	2.67199
chr1	91766490	91768290	14.3415525202552	0	+	1.90747	1.20789
chr1	91773575	91775375	13.2689848443403	0	+	2.99746	2.8916
chr1	91825680	91827480	5.32723680588566	0	+	3.13371	2.23276
